option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 52}",female,0.5878,0.8602,0.8461
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 53}",female,0.5389,0.7542,0.7440000000000001
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 54}",female,0.4256,0.7103,0.7019
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 55}",female,0.4844,0.9027,0.8864
"{'nodes': [10], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 56}",female,0.5978,0.7815,0.7705
"{'nodes': [10, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 57}",female,0.4538,0.6802,0.672
"{'nodes': [10, 20, 40], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 58}",female,0.5938,0.8035,0.7931
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 59}",female,0.611,0.8289,0.8159
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 60}",female,0.6251,0.7659,0.7604
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 61}",female,0.4531,0.6452,0.6391
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 62}",female,0.5382,0.4827,0.7127
"{'nodes': [10], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 63}",female,0.5551,0.7778,0.7681
"{'nodes': [10, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 64}",female,0.5863,0.7973,0.7869
"{'nodes': [10, 20, 40], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 65}",female,0.4111,0.7398,0.7296
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 66}",female,0.461,0.7071,0.6983
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 67}",female,0.4712,0.7894,0.7782
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 68}",female,0.5334,0.8854,0.8699
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 69}",female,0.4151,0.7170000000000001,0.7079
"{'nodes': [10], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 70}",female,0.5393,0.7187,0.7105
"{'nodes': [10, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 71}",female,0.6164,0.8024,0.7918
"{'nodes': [10, 20, 40], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 72}",female,0.6222,0.7895,0.7826
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 73}",female,0.6434,0.8509,0.8384
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 74}",female,0.5113,0.9029,0.8864
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 75}",female,0.5676,0.8397,0.8266
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 76}",female,0.525,0.763,0.7536
"{'nodes': [10], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 77}",female,0.4387,0.4994,0.4666
