option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.05, 'index': 71}",female,0.3801,0.7742,0.7649
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.01, 'index': 72}",female,0.4514,0.9285,0.9108
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.005, 'index': 73}",female,0.52,0.8468,0.8327
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.001, 'index': 74}",female,0.4925,0.8963,0.8805
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0005, 'index': 75}",female,0.4246,0.8220000000000001,0.8075
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0001, 'index': 76}",female,0.5402,0.9074,0.8911
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.1, 'index': 77}",female,0.6048,0.9603,0.9419
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.05, 'index': 78}",female,0.4756,0.9532,0.9335
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.01, 'index': 79}",female,0.4455,0.8365,0.8233
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.005, 'index': 80}",female,0.4324,0.9503,0.9311
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.001, 'index': 81}",female,0.5381,0.9138,0.8976
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0005, 'index': 82}",female,0.5601,0.9322,0.9142
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0001, 'index': 83}",female,0.6162,0.9421,0.9237
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.1, 'index': 84}",female,0.4578,0.963,0.9433
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.05, 'index': 85}",female,0.4711,0.9563,0.9369
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.01, 'index': 86}",female,0.4967,0.8556,0.8408
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.005, 'index': 87}",female,0.6012,0.9442,0.9266
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.001, 'index': 88}",female,0.5237,0.9704,0.9501
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0005, 'index': 89}",female,0.3827,0.9226,0.9049
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0001, 'index': 90}",female,0.6339,0.9722,0.9515
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.1, 'index': 91}",female,0.5,0.9378,0.9194
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.05, 'index': 92}",female,0.502,0.9038,0.8875
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.01, 'index': 93}",female,0.4384,0.9067,0.8894
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.005, 'index': 94}",female,0.48200000000000004,0.9587,0.9392
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.001, 'index': 95}",female,0.5759,0.9693,0.9493
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0005, 'index': 96}",female,0.4217,0.9307,0.9122
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0001, 'index': 97}",female,0.5835,0.9222,0.9054
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.1, 'index': 98}",female,0.4316,0.9423,0.9232
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.05, 'index': 99}",female,0.4193,0.8558,0.8416
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.01, 'index': 100}",female,0.5087,0.9285,0.9109
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.005, 'index': 101}",female,0.6479,0.8957,0.8804
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.001, 'index': 102}",female,0.4522,0.9025,0.8863
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0005, 'index': 103}",female,0.4757,0.8172,0.8047
"{'nodes': [10, 20, 40, 40, 20, 10], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0001, 'index': 104}",female,0.5335,0.9442,0.9254
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.1, 'index': 105}",female,0.6483,0.9429,0.925
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.05, 'index': 106}",female,0.40399999999999997,0.9503,0.9314
"{'nodes': [10, 20, 40, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.01, 'index': 107}",female,0.5051,0.908,0.8911
