option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 48}",female,0.5508,0.8659,0.8514
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 49}",female,0.4135,0.9134,0.8965
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 50}",female,0.5001,0.9143,0.897
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 51}",female,0.3971,0.8473,0.8333
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 52}",female,0.6523,0.9491,0.9295
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 53}",female,0.5743,0.9515,0.9321
"{'nodes': [10, 20, 40], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 54}",female,0.4896,0.8766,0.8621
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 55}",female,0.6127,0.889,0.8734
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 56}",female,0.444,0.8565,0.8433
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 57}",female,0.3422,0.762,0.7509999999999999
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 58}",female,0.4958,0.8951,0.8784
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 59}",female,0.6108,0.9251,0.9085
"{'nodes': [10, 20, 40], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 60}",female,0.6338,0.9218,0.9048
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 61}",female,0.5634,0.9408,0.9217
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 62}",female,0.4419,0.9316,0.9132
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 63}",female,0.4292,0.9036,0.8867
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 64}",female,0.4574,0.9217,0.9041
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 65}",female,0.3909,0.9111,0.8934
"{'nodes': [10, 20, 40], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 66}",female,0.5875,0.9254,0.9081
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 67}",female,0.4497,0.9464,0.9267
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 68}",female,0.4599,0.9074,0.8899
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 69}",female,0.5758,0.8451,0.8313
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 70}",female,0.6141,0.9813,0.9603
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.005, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 71}",female,0.4598,0.9433,0.9243
"{'nodes': [10, 20, 40], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 72}",female,0.4396,0.8342,0.8203
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 73}",female,0.6023,0.9459,0.9279999999999999
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 74}",female,0.3956,0.8927,0.8765
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 75}",female,0.5461,0.9367,0.9188
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 76}",female,0.606,0.8755,0.8613
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.01, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 77}",female,0.5389,0.8732,0.8577
"{'nodes': [10, 20, 40], 'lr_rate': 0.01, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 78}",female,0.55,0.8715,0.8557
